"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23307.8954223286","25020.1199910403","25659.4387784478","26532.5274656042","27712.9100270432","27707.4342312333","27558.8160750819","29223.2368822152","29508.8622671102","29716.8343112066","32026.9727415196","31064.3556476532","29847.9283520918","30356.0452745934","33050.9033772923","34051.4928047902","35168.5614695776","36619.588029091","37247.9805023973","33553.8820015977","32625.4926908747","34324.7993588886","33567.5500169846","36475.6578680703","36443.5596933409","36765.8207953501","37361.8672696203","38444.2381571851","","","",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1711.05833171488","1719.25741012186","1675.21474573146","1661.85289974896","1683.64722692335","1748.06468199143","1830.11282000718","1878.1485612524","1884.37457719174","1915.8467414679","1973.0678000582","2036.67569072084","2095.30163918899","2147.83183450406","2269.28084266051","2426.58738822575","2605.76249754092","2797.02897943188","2916.31994494494","2905.35004219508","3007.91577414412","3118.99162813741","3105.91194918468","3235.31008897899","3376.45886123987","3420.34456925931","3452.12508533281","3531.06279077446","3593.68419031676","3613.24374911338","",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","877.01426830392","927.857548047018","925.441429176842","1023.05174932878","1077.76153966077","1228.70386342946","1272.57297477768","1519.69292278438","1710.57541109225","1699.48811019742","1914.77422837964","2015.51477466948","2069.42402167356","2087.30532306683","1981.11806853633","2058.40022101943","2082.63564825406","2152.36648944504","",
"Africa Western and Central","AFW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1680.61835409474","1713.09769252949","1751.33424345796","1726.89842138672","1714.63764925852","1739.07346530224","1804.11619441258","1854.6130951129","1891.85905991131","1898.1120397083","1956.90057480979","2054.27346948991","2234.52117938531","2349.06142817443","2536.14257482674","2700.82279161735","2852.33603198931","3008.96666654098","3167.31238268131","3294.03183137941","3457.18487338984","3606.71918841551","3712.63746579589","3942.74121319786","4123.4158335846","4125.41506045621","4045.43999858376","4091.8354042818","4200.93532220561","4296.9337382773","",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3281.31385049283","3313.88875813176","3088.5337197102","2326.64619254223","2331.7038793884","2651.02047313358","2968.24306834791","3136.51628626983","3215.10561889009","3226.1281422107","3289.40954946819","3389.19696691951","3785.1503220062","3838.7950524777","4225.4679269176","4837.70982676046","5362.01984289893","6050.61055453052","6607.29163426752","6470.67524420331","6587.98693898257","6710.75062298751","7412.96703464311","7682.47538648506","8179.29782812609","7337.56982204938","7103.22643061091","7310.89658895511","7099.97195809928","6905.65175067404","",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2548.84576396434","1908.64433095543","1822.85907628633","2056.94345335585","2289.30974784048","2665.10903652225","2979.33308993872","2716.69355834805","3020.93057263444","3471.65635908955","3862.48437763265","4301.38282973192","4661.37914319822","4994.92469274671","5423.20168382235","5865.31759085604","6557.80133674236","7274.52468523841","8228.32755984622","8819.51009173416","9636.10870469977","10207.7335023376","10526.3189737173","10570.9681040326","11259.2967004521","11658.8660596051","12078.8007284137","12770.9750370811","13546.4816863125","14224.0732565115","",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6653.85645276045","7204.91609189758","7595.22092951578","7786.54331453522","7974.99250087476","8105.04107569654","8432.19890112628","8737.38320871977","9127.48025978169","9246.78686563851","9876.77790951329","10036.0423584887","10006.3944822192","10389.0529967627","11401.4872074438","12117.3070074321","12905.6962495438","13517.8070984377","14238.8425275384","14108.4673676275","14599.3939126895","15066.266353727","16076.1757990609","16034.653566196","15755.3868432082","14199.7598562887","13623.3361639718","14143.5815823093","14584.1253074366","14809.1807562221","",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87226.3007389525","85847.0561166486","85624.8640941406","83847.8578673871","86706.600558781","89724.1549664639","91943.318420525","96180.0082194511","92627.8658860804","91710.5455531882","98363.5743842064","96722.5085221705","95550.1899129135","99238.3630768923","101871.334134763","97670.0574611991","95678.3177471497","87101.5701317481","79730.9603586962","68166.4788483792","64881.7805747146","67686.3853798798","69102.4761704654","70374.2353627555","73619.0446557068","64901.8800512352","63968.8880391711","67183.6053123325","68576.1155189221","69957.6180753855","",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7195.69210552205","8005.46507387724","8719.10324161244","9532.89094089847","10175.1260081628","9969.60117114925","10586.1099729934","11507.8954146611","11949.4186592024","11581.8905140722","11618.7932334926","11226.8797464943","10052.4882560869","11025.1860988296","12214.7407113551","13568.7692061284","14951.7289508076","16570.0078336983","17404.0691420333","16334.7408131075","18061.9343589164","19322.2271236942","19641.3528638347","20131.6804246983","19683.7715056442","20105.1989918165","20307.870052142","23597.1177528578","23305.8474193985","22996.9855202963","",
